City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Svetlyy,RU,54.675,20.1347,66.25,80,100,5.7,overcast clouds
328,Boa Vista,BR,2.8197,-60.6733,82.38,69,40,5.75,scattered clouds
329,Cockburn Town,TC,21.4612,-71.1419,80.78,82,33,14.88,scattered clouds
330,Myitkyina,MM,25.3833,97.4,73.35,96,100,1.79,overcast clouds
331,Old Shinyanga,TZ,-3.55,33.4,69.1,63,33,8.46,scattered clouds
332,Chivacoa,VE,10.1603,-68.895,86.54,57,69,5.35,broken clouds
333,Yabelo,ET,4.8833,38.0833,62.01,76,100,5.84,light rain
334,Iranshahr,IR,27.2025,60.6848,89.6,15,0,5.82,clear sky
335,Inirida,CO,3.8653,-67.9239,81.81,79,88,3.04,overcast clouds
336,Jardim,BR,-21.4803,-56.1381,90.0,30,64,8.61,broken clouds
337,Tomatlan,MX,19.9333,-105.25,87.91,50,16,9.53,few clouds
338,Gorontalo,ID,0.5412,123.0595,74.17,95,86,2.64,overcast clouds
339,Nizhniye Sergi,RU,56.6614,59.3033,52.77,95,100,8.32,overcast clouds
340,Manta,EC,-0.95,-80.7333,78.58,73,75,8.05,broken clouds
341,Mwinilunga,ZM,-11.7358,24.4293,55.02,56,15,5.55,few clouds
342,Port Blair,IN,11.6667,92.75,82.2,79,100,18.43,light rain
343,Pacific Grove,US,36.6177,-121.9166,76.8,81,20,11.5,few clouds
344,Cravo Norte,CO,6.3017,-70.2041,84.52,68,53,4.85,broken clouds
